                       WYKRES 0


*********************************DLA 5 WEZLOW*********************************

LAGRANGE
           -2.6	     -0.0337552
           -2.5	     -0.0353147
           -2.4	     -0.0330678
           -2.3	     -0.0267046
           -2.2	     -0.0160405
           -2.1	    -0.00101431
             -2	      0.0183156
           -1.9	      0.0417784
           -1.8	      0.0690986
           -1.7	      0.0999065
           -1.6	       0.133749
           -1.5	       0.170102
           -1.4	       0.208384
           -1.3	       0.247967
           -1.2	       0.288195
           -1.1	       0.328392
             -1	       0.367879
           -0.9	       0.405988
           -0.8	       0.442069
           -0.7	        0.47551
           -0.6	       0.505741
           -0.5	       0.532247
           -0.4	       0.554576
           -0.3	       0.572351
           -0.2	       0.585267
           -0.1	       0.593105
   -1.02696e-15	       0.595733
            0.1	       0.593105
            0.2	       0.585267
            0.3	       0.572351
            0.4	       0.554576
            0.5	       0.532247
            0.6	       0.505741
            0.7	        0.47551
            0.8	       0.442069
            0.9	       0.405988
              1	       0.367879
            1.1	       0.328392
            1.2	       0.288195
            1.3	       0.247967
            1.4	       0.208384
            1.5	       0.170102
            1.6	       0.133749
            1.7	      0.0999065
            1.8	      0.0690986
            1.9	      0.0417784
              2	      0.0183156
            2.1	    -0.00101431
            2.2	     -0.0160405
            2.3	     -0.0267046
            2.4	     -0.0330678
            2.5	     -0.0353147
            2.6	     -0.0337552
            2.7	     -0.0288234
            2.8	     -0.0210729
            2.9	     -0.0111691
              3	     0.00012341
            3.1	      0.0119575
            3.2	      0.0234247
            3.3	       0.033583
            3.4	      0.0414887
            3.5	      0.0462365
            3.6	      0.0470047
            3.7	      0.0431092
            3.8	      0.0340641
            3.9	      0.0196515
              4	    1.12535e-07
            4.1	     -0.0243271
            4.2	     -0.0522346
            4.3	     -0.0819852
            4.4	       -0.11108
            4.5	      -0.136128
            4.6	      -0.152697
            4.7	      -0.155162
            4.8	      -0.136526
            4.9	     -0.0882413
              5	     1.3885e-11

CZYBYSZEW
             -5	      0.0165922
           -4.9	    -0.00724703
           -4.8	     -0.0172043
           -4.7	     -0.0177412
           -4.6	      -0.012443
           -4.5	    -0.00412793
           -4.4	     0.00505334
           -4.3	      0.0135256
           -4.2	      0.0202048
           -4.1	       0.024422
             -4	      0.0258526
           -3.9	      0.0244545
           -3.8	      0.0204101
           -3.7	      0.0140764
           -3.6	     0.00593936
           -3.5	    -0.00342625
           -3.4	     -0.0133916
           -3.3	     -0.0233042
           -3.2	     -0.0325143
           -3.1	     -0.0403968
             -3	     -0.0463693
           -2.9	     -0.0499075
           -2.8	     -0.0505565
           -2.7	     -0.0479395
           -2.6	     -0.0417644
           -2.5	      -0.031827
           -2.4	     -0.0180125
           -2.3	   -0.000295273
           -2.2	      0.0212634
           -2.1	      0.0465193
             -2	      0.0752501
           -1.9	       0.107162
           -1.8	       0.141895
           -1.7	       0.179035
           -1.6	       0.218117
           -1.5	       0.258639
           -1.4	       0.300067
           -1.3	       0.341848
           -1.2	       0.383417
           -1.1	       0.424207
             -1	       0.463659
           -0.9	       0.501229
           -0.8	       0.536397
           -0.7	       0.568678
           -0.6	       0.597623
           -0.5	       0.622831
           -0.4	       0.643951
           -0.3	        0.66069
           -0.2	       0.672815
           -0.1	       0.680158
   -1.02696e-15	       0.682617
            0.1	       0.680158
            0.2	       0.672815
            0.3	        0.66069
            0.4	       0.643951
            0.5	       0.622831
            0.6	       0.597623
            0.7	       0.568678
            0.8	       0.536397
            0.9	       0.501229
              1	       0.463659
            1.1	       0.424207
            1.2	       0.383417
            1.3	       0.341848
            1.4	       0.300067
            1.5	       0.258639
            1.6	       0.218117
            1.7	       0.179035
            1.8	       0.141895
            1.9	       0.107162
              2	      0.0752501
            2.1	      0.0465193
            2.2	      0.0212634
            2.3	   -0.000295273
            2.4	     -0.0180125
            2.5	      -0.031827
            2.6	     -0.0417644
            2.7	     -0.0479395
            2.8	     -0.0505565
            2.9	     -0.0499075
              3	     -0.0463693
            3.1	     -0.0403968
            3.2	     -0.0325143
            3.3	     -0.0233042
            3.4	     -0.0133916
            3.5	    -0.00342625
            3.6	     0.00593936
            3.7	      0.0140764
            3.8	      0.0204101
            3.9	      0.0244545
              4	      0.0258526
            4.1	       0.024422
            4.2	      0.0202048
            4.3	      0.0135256
            4.4	     0.00505334
            4.5	    -0.00412793
            4.6	      -0.012443
            4.7	     -0.0177412
            4.8	     -0.0172043
            4.9	    -0.00724703
              5	      0.0165922


*********************************DLA 15 WEZLOW*********************************

LAGRANGE
             -5	    1.38879e-11
           -4.9	        3.71287
           -4.8	        4.52478
           -4.7	        3.92464
           -4.6	        2.80537
           -4.5	        1.65969
           -4.4	       0.722167
           -4.3	      0.0698583
           -4.2	      -0.308359
           -4.1	      -0.465882
             -4	      -0.469523
           -3.9	      -0.382768
