                     

WYKRES 0


*********************************DLA 5 WEZLOW*********************************


	Druga pochodna wzorami:
	0	0.478147	-0.958147	0.478147	0
	Druga pochodna z ilorazu roznicowego:
	1.46581e-09	0.0449432	-1.99003	0.0449432	1.46581e-09	             -5	    1.38879e-11
           -4.2	   -6.80299e-07
           -4.1	   -5.06321e-07
             -4	    1.12535e-07
           -3.9	    1.24102e-06
           -3.8	    2.61673e-06
           -3.7	    3.89545e-06
           -3.6	    4.73298e-06
           -3.5	    4.78512e-06
           -3.4	    4.84519e-06
           -3.3	    1.02567e-05
           -3.2	    2.75006e-05
           -3.1	     6.3058e-05
             -3	     0.00012341
           -2.9	    0.000222289
           -2.8	    0.000402439
           -2.7	    0.000713853
           -2.6	     0.00120653
           -2.5	     0.00193045
           -2.4	     0.00299601
           -2.3	     0.00475505
           -2.2	     0.00761984
           -2.1	      0.0120026
             -2	      0.0183156
           -1.9	      0.0270682
           -1.8	      0.0391581
           -1.7	        0.05558
           -1.6	      0.0773288
           -1.5	       0.105399
           -1.4	       0.140726
           -1.3	       0.184003
           -1.2	       0.235865
           -1.1	       0.296946
             -1	       0.367879
           -0.9	        0.44839
           -0.8	       0.534563
           -0.7	       0.621572
           -0.6	       0.704593
           -0.5	       0.778801
           -0.4	       0.840174
           -0.3	       0.887909
           -0.2	       0.922005
           -0.1	       0.942463
   -1.02696e-15	       0.949282
            0.1	       0.942463
            0.2	       0.922005
            0.3	       0.887909
            0.4	       0.840174
            0.5	       0.778801
            0.6	       0.704593
            0.7	       0.621572
            0.8	       0.534563
            0.9	        0.44839
              1	       0.367879
            1.1	       0.296946
            1.2	       0.235865
            1.3	       0.184003
            1.4	       0.140726
            1.5	       0.105399
            1.6	      0.0773288
            1.7	        0.05558
            1.8	      0.0391581
            1.9	      0.0270682
              2	      0.0183156
            2.1	      0.0120026
            2.2	     0.00761984
            2.3	     0.00475505
            2.4	     0.00299601
            2.5	     0.00193045
            2.6	     0.00120653
            2.7	    0.000713853
            2.8	    0.000402439
            2.9	    0.000222289
              3	     0.00012341
            3.1	     6.3058e-05
            3.2	    2.75006e-05
            3.3	    1.02567e-05
            3.4	    4.84519e-06
            3.5	    4.78512e-06
            3.6	    4.73298e-06
            3.7	    3.89545e-06
            3.8	    2.61673e-06
            3.9	    1.24102e-06
              4	    1.12535e-07
            4.1	   -5.06321e-07
            4.2	   -6.80299e-07
            4.3	   -5.55942e-07
            4.4	   -2.79792e-07
            4.5	    1.60523e-09
            4.6	    1.70841e-07
            4.7	    2.27041e-07
            4.8	    1.98464e-07
            4.9	    1.13368e-07
              5	    1.38879e-11
                     

WYKRES 1


*********************************DLA 5 WEZLOW*********************************


	Druga pochodna wzorami:
	0	0.96	-0.96	0	0
	Druga pochodna z ilorazu roznicowego:
	0	0	-200	0	0	             -5	             -1
           -4.9	        -1.0271
           -4.8	       -1.05394
           -4.7	       -1.08026
           -4.6	       -1.10579
           -4.5	       -1.13029
           -4.4	       -1.15348
           -4.3	        -1.1751
           -4.2	       -1.19491
           -4.1	       -1.21263
             -4	         -1.228
           -3.9	       -1.24077
           -3.8	       -1.25067
           -3.7	       -1.25744
           -3.6	       -1.26083
           -3.5	       -1.26057
           -3.4	        -1.2564
           -3.3	       -1.24806
           -3.2	        -1.2353
           -3.1	       -1.21784
             -3	       -1.19543
           -2.9	       -1.16781
           -2.8	       -1.13472
           -2.7	       -1.09589
           -2.6	       -1.05107
